area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,TOTAL 2001-2017
Mexico_Chiapas_Villa Corzo,222,295,597,751,527,298,429,292,213,612,418,221,233,170,71,189,187,"5,726"
Mexico_Chiapas_Villaflores,148,199,368,361,244,174,469,131,179,396,531,182,68,86,71,404,126,"4,136"
Mexico_Chiapas_Yajalón,55,27,17,75,33,44,73,117,102,61,57,107,109,134,175,523,257,"1,964"
Mexico_Chiapas_Zinacantán,21,29,15,66,22,34,51,41,23,29,40,25,12,18,12,27,19,484
Mexico_Chihuahua_Ahumada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Chihuahua_Aldama,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
Mexico_Chihuahua_Allende,0,4,1,4,0,6,0,6,1,0,0,1,0,0,0,0,0,24
Mexico_Chihuahua_Aquiles Serdán,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Chihuahua_Ascensión,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mexico_Chihuahua_Bachíniva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mexico_Chihuahua_Balleza,2,12,2,10,29,33,9,82,13,12,48,21,70,4,1,4,8,364
Mexico_Chihuahua_Batopilas,8,60,61,58,26,24,74,37,35,38,26,315,21,4,1,5,4,798
Mexico_Chihuahua_Bocoyna,3,40,6,78,7,29,30,99,107,50,260,215,238,138,27,333,730,"2,389"
Mexico_Chihuahua_Buenaventura,0,2,0,0,3,2,2,0,0,0,0,0,0,0,0,0,158,169
Mexico_Chihuahua_Camargo,1,5,8,20,0,14,1,12,4,1,0,2,0,0,0,0,0,70
Mexico_Chihuahua_Carichic,3,0,0,2,2,1,1,1,33,1,49,63,138,23,0,1,6,324
Mexico_Chihuahua_Casas Grandes,9,18,27,11,2,3,3,3,1,2,15,1,3,3,1,0,0,101
Mexico_Chihuahua_Chihuahua,15,1,0,4,1,6,1,5,0,0,6,3,16,4,0,2,0,65
Mexico_Chihuahua_Chínipas,6,20,3,19,20,11,18,30,12,22,7,67,143,9,4,7,2,400
Mexico_Chihuahua_Coronado,1,4,2,1,1,3,1,1,2,6,0,0,0,0,0,0,0,23
